propid,propname,proptype,proprules,description,propvalue,message,clickurl,imageref,proporder,propstage,proptag,channel,breuserid,active,brecontext,impressioncount,responsecount,userid,interactionid,dateandtime,isimpression
m1.2.onl_ban.2,m1.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_ban.2.jpg,1,2,WelcomeBannerImg,web,aetuk,1,all,11,0,nick,2.0211018094459094E13,2021-10-18 09:44:59.0,TRUE
m1.2.onl_rhb.1,m1.2.onl_rhb.1,rightbanner,1,right banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_rhb.1.jpg,1,2,RightHandBannerContainer,web,aetuk,1,all,12,0,nick,2.0211018094459516E13,2021-10-18 09:44:59.0,TRUE
m1.2.onl_box.1,m1.2.onl_box.1,messagebanner,1,Mortgage rate change,0,Your mortgage rate is changing soon.  It could be  easier to switch to a new deal with us. We'll be in touch soon to remind you and talk you through the simple steps.,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/inboxbanner.jpg,1,2,OnlineMsgInboxBody,web,aetuk,1,all,12,0,nick,2.0211018094459484E13,2021-10-18 09:44:59.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,24,0,2,2.0211018094500082E13,2021-10-18 09:45:00.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,24,0,2,2.0211018094500773E13,2021-10-18 09:45:00.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,84,0,2,2.021101809450033E13,2021-10-18 09:45:00.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,23,0,2,2.021101809450241E13,2021-10-18 09:45:02.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,85,0,2,2.021101809450249E13,2021-10-18 09:45:02.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,24,0,2,2.021101809450418E13,2021-10-18 09:45:04.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,86,0,2,2.0211018094504348E13,2021-10-18 09:45:04.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,11,0,1,2.0211018094506625E13,2021-10-18 09:45:06.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,11,0,1,2.0211018094506992E13,2021-10-18 09:45:06.0,TRUE
